"inflammatory_bowel_disease"	"multiple_sclerosis"	"telomere_length"	"platelet_counts"	"metabolite_levels"	"hdl_cholesterol"	"c.reactive_protein"	"ldl_cholesterol"	"cholesterol__total"	"ulcerative_colitis"	"breast_cancer"	"crohns_disease"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"
"H3K4me3_Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells"	2.79471381394359	0.789277048089308	2.67793852366595	1.72721796980371	0.292452754427279	2.53471463311359	0	0.609037938496361	0.81778397291449	0.0394324071012089	1.89877496911101	0	-0.841450228172648	0	0.575872957143497	1.60263012056106
"H3K4me3_Colon_Smooth_Muscle"	2.93491784518737	0.0733919108811398	2.80764423340044	1.70710445567775	0.300424492080565	0.144667170503742	0.00691717782632631	0.444303918189474	0.705520767043295	0.749214976046132	1.99076289031114	0.963167735512956	0	0.0268456544473848	0.334545385832106	1.01795300614264
"H3K4me3_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	2.62318205358026	0.644198718465309	2.43257424167805	3.30366273837137	0.178316636474978	0.483044011577102	0	0.564082099361493	0.391674884540262	0.108885934667014	0.635239602740883	1.26770008995716	-0.250866118243432	0.100998519906655	0.575872957143497	1.06314505314359
"H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	2.57270315275601	0.940372962780693	2.51960638680388	3.51983618429668	-0.193035866644352	0.483044011577102	0	0.288660409512969	0.503948575917284	0	1.89877496911101	0.228847688396427	-0.178940155233069	0.100998519906655	0.633763960752025	1.60263012056106
"H3K4me3_Stomach_Smooth_Muscle"	3.07329404113287	0.919131785328879	2.8471765526264	3.1212028635441	0.156396340002137	0.483044011577102	0	0.564082099361493	0.705520767043295	0.109448011951065	1.99076289031114	0.795369124943369	0	0	0.194874252802209	0.842563886305806
"H3K4me3_Adult_Kidney"	2.50158873010266	0.903187888437277	2.8471765526264	1.36606640007421	0.300424492080565	0.0301517543027238	0.00691717782632631	0.253744719040888	0.627343657331225	0.12051507435124	0.895361134869694	0.224319479386434	-0.0114463292055951	0.0312355750092457	1.07394668497998	1.42981774413706
"H3K4me3_Skeletal_Muscle"	2.86522377188609	1.27230707858587	2.2311438440135	2.07304041617306	0.178316636474978	1.29770900797678	0	0.245690379603907	0.332305488799393	0.109448011951065	0.667162092034377	0	0.144163572351515	0.100998519906655	0.837225142970294	1.24787493482346
"H3K4me3_Stomach_Mucosa"	2.71876730598608	0.587719179739019	1.9653250438122	1.70710445567775	0.428778053685951	0.483044011577102	0.00691717782632631	1.41651740413072	1.02827101392881	0	0.301873282785107	0.236673055011768	0	0	0.618187753199826	0.520966204308665
"H3K4me3_Brain_Inferior_Temporal_Lobe"	1.94282522015048	0.492461719170183	1.65023184355248	2.48101802958462	0.300424492080565	0.34408118499743	0.00691717782632631	0.609037938496361	0.503948575917284	-0.0394324071012089	0.367847516360905	0	-0.0114463292055951	0	0.575872957143497	0.829233406862889
"H3K4me3_Brain_Cingulate_Gyrus"	1.34155537437696	0.885873041560677	1.64356841109557	2.42580912748948	0.300424492080565	0.212443001929483	0.00691717782632631	0.609037938496361	0.683184643220099	-0.0394324071012089	0.617926858117405	0	0.0114463292055951	0	0.572954608281889	0.829233406862889
"H3K4me3_Brain_Hippocampus_Middle"	2.09580273249376	0.434167568456653	2.80764423340044	2.35026517847976	0.300424492080565	0.172222108756891	0.00691717782632631	0.753948015895503	0.705520767043295	0.0538273248894003	0.717689035730174	0	0.0114463292055951	0.0268456544473848	1.07394668497998	0.842563886305806
"H3K4me3_Muscle_Satellite_Cultured_Cells"	2.27139351787886	1.27230707858587	2.43826516669067	2.66870689554466	0.178316636474978	0.316529238963236	0	0.564082099361493	0.705520767043295	0.0394324071012089	0.638381119471164	0.236673055011768	-0.0114463292055951	0.100998519906655	0.287028355262117	0.997441848473066
