"telomere_length"	"ldl_cholesterol"	"crohns_disease"	"hdl_cholesterol"	"inflammatory_bowel_disease"	"platelet_counts"	"multiple_sclerosis"	"ulcerative_colitis"	"breast_cancer"	"metabolite_levels"	"c.reactive_protein"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"cholesterol__total"	"systemic_lupus_erythematosus"
"H3K4me3_Adipose_Nuclei"	0.00209923701901895	0.90686267316325	0.125176390072	0.3288183066083	3.420334266066e-08	4.83328398427933e-06	0.0001162404424501	0.1574643235628	0.01262481523442	0.847680710726	0.9841987795945	0.974990311125724	0.834844032292421	0.145470475035033	-1	0.0249672022558446
"H3K4me3_Adult_Liver"	0.00302269002755043	1.6998847005226e-07	1	4.771552520986e-06	0.023463606696669	0.00106121438520618	0.29999394916869	0.913203553774375	-1	0.002953451742667	8.81376059979e-09	-0.973988144876571	0.792504031362	0.509902608487226	1.3706883546072e-08	0.127757809908593
"H3K4me3_Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.00142175068894844	0.002663510546422	0.590408106146167	0.493434934304875	0.104415241370909	0.0297664779740828	0.12046703313849	0.7772343535452	0.110452578074477	0.5006975979532	-1	-0.809606315329143	0.948042789421429	0.63844831807	0.1970059000911	0.1012810223728
"H3K4me3_Pancreatic_Islets"	0.00124442511189	0.080860691557275	0.383878752839579	0.3288183066083	0.105175841479	0.0377133789207419	0.377503332111758	-0.872752948294696	0.217631083337818	0.37258206577565	0.9841987795945	0.973988144876571	0.940057341726222	0.108797633419314	0.1521304069764	0.100590774386383
"H3K4me3_Skeletal_Muscle"	0.00587294800592	0.567949367722462	1	0.0503838084309267	0.001363880211038	0.00845200185753053	0.05341865161276	0.7772343535452	0.215197840041	0.663259323360276	-1	0.717523992667667	0.792504031362	0.145470475035033	0.465258708924207	0.0565099684954
"H3K4me3_CD8_Naive_Primary_Cells"	0.00142175068894844	0.7332997082095	0.02990607449879	-1	3.03999515002489e-09	0.00524137670023556	5.2736321353536e-08	0.1574643235628	0.0947278055837333	0.64101057004425	1	0.006813270468804	0.000839405405181133	0.06161782518485	0.1970059000911	0.0554194745914267
"H3K4me3_Adult_Kidney"	0.00142175068894844	0.557513362408417	0.5965962519308	0.932928253332452	0.00315073059304783	0.0430460791525938	0.124971824874752	0.757678433408857	0.127244454763614	0.5006975979532	0.9841987795945	-0.973988144876571	0.930602950178095	0.0843438293893167	0.235861112498833	0.0371691180156
"H3K4me3_Brain_Anterior_Caudate"	0.00142175068894844	0.01177281116664	-1	0.743825202580923	0.023463606696669	0.00106121438520618	0.0321133064493231	-0.89764095113	0.196285431281889	0.37258206577565	1	0.973988144876571	-1	0.232399954798182	0.1970059000911	0.127757809908593
"H3K4me3_CD34_Primary_Cells"	0.247037182228	0.246015268414667	0.0451393295256909	0.572169436272	0.0490641118375375	0.13124822762	0.367994649802	0.7772343535452	0.5786370570038	0.5006975979532	0.9841987795945	-0.973988144876571	0.940057341726222	0.232399954798182	0.2427843894784	0.100437950693171
"H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.00302269002755043	0.514445758005909	0.590408106146167	0.3288183066083	0.00267483407596455	0.0003021091059838	0.1147168035068	-1	0.01262481523442	-0.64115662383728	1	-0.662307761879273	0.792504031362	0.232399954798182	0.31336567534	0.0249672022558446
